scope,artifact,aggregation,window_s,selected_k,cluster_id,cluster_size,dominant_artifact,dominant_artifact_frac,row_nonzero_mean,row_nonzero_median,row_nonzero_p95,row_nonzero_lift_vs_global,row_signal_mean,row_signal_median,row_signal_p95,row_signal_lift_vs_global,phase_pre_count,phase_incident_count,phase_post_count,phase_pre_frac,phase_incident_frac,phase_post_frac,top_features,method,cut_mode,cut_value,linkage
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,0,34,Magnet_CTF_2022_Windows_Laptop,1.0,54.029411764705884,54.5,67.69999999999999,3.5233505878472493,13291.230018232736,6968.143186571517,57663.148738447795,8.586337217893782,16,0,18,0.47058823529411764,0.0,0.5294117647058824,mask_NTFS_file_stat | is_ntfs | mask_File_stat | is_file_entry | is_file,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,1,15,Magnet_CTF_2022_Windows_Laptop,1.0,50.4,46.0,65.6,3.286670423154625,19366.554482816122,2471.9522426224667,72817.4407343969,12.511089440936644,10,0,5,0.6666666666666666,0.0,0.3333333333333333,mask_NTFS_file_stat | has_macb_accessed | is_standard_info | has_macb_modified | mask_Registry_Key,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,2,147,Magnet_CTF_2022_Windows_Laptop,1.0,38.53741496598639,38.0,50.69999999999999,2.5130909117766644,13651.777283446783,1065.5621212816345,93262.78391054651,8.819256247800753,101,0,46,0.6870748299319728,0.0,0.3129251700680272,mask_NTFS_file_stat | is_ntfs | mask_File_stat | is_standard_info | is_file_entry,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,3,21,Magnet_CTF_2022_Windows_Laptop,1.0,43.904761904761905,40.0,63.0,2.8631048092862477,186818.16084469302,143007.67113106797,285581.8708419608,120.6873799670003,15,0,6,0.7142857142857143,0.0,0.2857142857142857,mask_NTFS_file_stat | is_ntfs | mask_File_stat | has_macb_accessed | is_standard_info,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,4,5,Magnet_CTF_2022_Windows_Laptop,1.0,57.2,56.0,65.6,3.7301100834215193,1835.4896592589569,352.9080458772921,6216.801428067108,1.1857543021025754,1,0,4,0.2,0.0,0.8,is_file_entry | has_sha256 | is_file | is_ntfs | mask_File_stat,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,5,3,Magnet_CTF_2022_Windows_Laptop,1.0,60.333333333333336,60.0,61.8,3.934440122956264,10730.721999107,13091.014458509902,15009.543860841339,6.932210002340705,2,0,1,0.6666666666666666,0.0,0.3333333333333333,mask_NTFS_file_stat | mask_WinEVTX | has_macb_accessed | is_standard_info | is_ntfs,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,6,1018,Magnet_CTF_2022_Windows_Laptop,1.0,25.451866404715126,27.0,35.0,1.6597598517154772,127.2843997184734,78.43426967467639,365.4170063607891,0.08222766268138929,583,0,435,0.5726915520628684,0.0,0.42730844793713163,global_shannon_entropy_spike_score | global_permutation_entropy_spike_score | global_dispersion_entropy_spike_score | event_powershell | is_ntfs_event,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,7,9,Magnet_CTF_2022_Windows_Laptop,1.0,58.888888888888886,58.0,70.0,3.840245423879963,4951.958839000769,3061.1940558709293,14130.342791403833,3.199040903096487,5,0,4,0.5555555555555556,0.0,0.4444444444444444,mask_WinEVTX | is_from_users_dir | mask_NTFS_file_stat | is_in_appdata | has_macb_accessed,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,8,3,Magnet_CTF_2022_Windows_Laptop,1.0,57.333333333333336,68.0,70.7,3.73880497872087,10618.330560545377,14379.286709080425,16912.89452263865,6.859603419611306,2,0,1,0.6666666666666666,0.0,0.3333333333333333,mask_NTFS_file_stat | is_from_users_dir | is_standard_info | is_in_appdata | is_ntfs,agglomerative,distance,140.7199589479988,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,17,9,1,Magnet_CTF_2022_Windows_Laptop,1.0,75.0,75.0,75.0,4.890878605884859,11578.97093434426,11578.97093434426,11578.97093434426,7.4801917461428395,0,0,1,0.0,0.0,1.0,mask_Registry_Key | IsSystemHive | mask_WinEVTX | mask_NTFS_file_stat | is_ntfs,agglomerative,distance,140.7199589479988,ward
