method,cut_mode,cut_value,linkage,cluster_id,cluster_size,cluster_frac,attack_count,attack_rate,attack_lift_vs_global,dominant_artifact,dominant_artifact_frac,row_nonzero_mean,row_nonzero_median,row_nonzero_p95,row_nonzero_lift_vs_global,row_signal_mean,row_signal_median,row_signal_p95,row_signal_lift_vs_global,phase_pre_count,phase_incident_count,phase_post_count,phase_pre_frac,phase_incident_frac,phase_post_frac,time_cluster_min,time_cluster_max,top_features,top_features_characteristics
agglomerative,k,26,ward,12,2,0.00042149631190727084,2,1.0,7.1893939393939394,Magnet_CTF_2022_Windows_Laptop,1.0,33.0,33.0,42.9,5.7081146106736655,6885.5,6885.5,13006.849999999999,4.467312308111763,0,0,2,0.0,0.0,1.0,2022-02-11 22:53:00,2022-02-11 22:55:00,is_network_share | mask_BagMRU_Registry_Key | unknown_shell_item_type | is_unpinned | mask_OLECF_Dest_list_entry,is_network_share | mask_BagMRU_Registry_Key | unknown_shell_item_type | is_unpinned | mask_OLECF_Dest_list_entry
agglomerative,k,26,ward,13,1,0.00021074815595363542,1,1.0,7.1893939393939394,Magnet_CTF_2022_Windows_Laptop,1.0,31.0,31.0,31.0,5.3621682706328375,214.0,214.0,214.0,0.13884319714413149,0,0,1,0.0,0.0,1.0,2022-02-11 22:54:00,2022-02-11 22:54:00,accessed_appdata | accessed_network_path | is_user_location | multiple_entries | mask_MRUList_Registry_Key,accessed_appdata | accessed_network_path | is_user_location | multiple_entries | mask_MRUList_Registry_Key
agglomerative,k,26,ward,21,1,0.00021074815595363542,1,1.0,7.1893939393939394,Magnet_CTF_2022_Windows_Laptop,1.0,42.0,42.0,42.0,7.264873140857393,767.0,767.0,767.0,0.497629589764247,0,0,1,0.0,0.0,1.0,2022-02-11 01:20:00,2022-02-11 01:20:00,is_pinned | is_txt_file | is_google_domain | is_advertising_cookie | is_from_suspicious_domain,is_pinned | is_txt_file | is_google_domain | is_advertising_cookie | is_from_suspicious_domain
agglomerative,k,26,ward,8,8,0.0016859852476290833,6,0.75,5.392045454545455,Magnet_CTF_2022_Windows_Laptop,1.0,35.875,32.5,53.599999999999994,6.2054124744823564,1165.25,227.0,5163.899999999996,0.7560141844495291,2,0,6,0.25,0.0,0.75,2022-02-06 07:45:00,2022-02-11 23:26:00,is_cmd_or_script | IsInAppData | is_system_path | has_ps1_target | is_user_profile_shortcut,is_cmd_or_script | IsInAppData | is_system_path | has_ps1_target | is_user_profile_shortcut
agglomerative,k,26,ward,4,2,0.00042149631190727084,1,0.5,3.5946969696969697,Magnet_CTF_2022_Windows_Laptop,1.0,41.5,41.5,57.25,7.178386555847186,7317.0,7317.0,13662.0,4.747269502353318,1,0,1,0.5,0.0,0.5,2022-02-04 07:08:00,2022-02-12 01:47:00,contains_appdata_path | suspicious_executable | key_contains_run | mask_Run_Run_Once_Registry_Key | is_runonce_key,contains_appdata_path | suspicious_executable | key_contains_run | mask_Run_Run_Once_Registry_Key | is_runonce_key
agglomerative,k,26,ward,5,2,0.00042149631190727084,1,0.5,3.5946969696969697,Magnet_CTF_2022_Windows_Laptop,1.0,43.5,43.5,43.95,7.524332895888014,219.0,219.0,304.5,0.14208719707740558,1,0,1,0.5,0.0,0.5,2022-02-06 07:56:00,2022-02-12 00:04:00,is_from_user_profile | has_hostname_reference | is_root_entry | mask_OLECF_Item | is_txt_file,is_from_user_profile | has_hostname_reference | is_root_entry | mask_OLECF_Item | is_txt_file
agglomerative,k,26,ward,7,5,0.001053740779768177,2,0.4,2.875757575757576,Magnet_CTF_2022_Windows_Laptop,1.0,45.0,44.0,54.4,7.7837926509186355,11736.6,8158.0,23216.0,7.614705923372961,3,0,2,0.6,0.0,0.4,2022-02-05 01:16:00,2022-02-11 01:21:00,visit_to_search_engine | is_night_access | is_from_suspicious_domain | IsCSS | is_ad_service,visit_to_search_engine | is_night_access | is_from_suspicious_domain | IsCSS | is_ad_service
agglomerative,k,26,ward,1,8,0.0016859852476290833,2,0.25,1.7973484848484849,Magnet_CTF_2022_Windows_Laptop,1.0,47.75,49.5,61.14999999999999,8.259468868474773,18353.5,3531.5,81534.94999999995,11.90775055506924,5,0,3,0.625,0.0,0.375,2022-02-05 01:18:00,2022-02-12 23:33:00,contains_path_recent | mask_MRUListEx_Registry_Key | is_multiple_volumes | is_obfuscated_path | contains_path_downloads,contains_path_recent | mask_MRUListEx_Registry_Key | is_multiple_volumes | is_obfuscated_path | contains_path_downloads
agglomerative,k,26,ward,25,5,0.001053740779768177,1,0.2,1.437878787878788,Magnet_CTF_2022_Windows_Laptop,1.0,40.2,40.0,50.8,6.953521434820648,210708.6,246508.0,280097.6,136.70773686805583,4,0,1,0.8,0.0,0.2,2022-02-06 06:58:00,2022-02-11 23:03:00,contains_vbs | is_in_system32 | is_from_system32 | is_accessed | is_executable,contains_vbs | is_in_system32 | is_from_system32 | is_accessed | is_executable
agglomerative,k,26,ward,6,6,0.0012644889357218123,1,0.16666666666666666,1.1982323232323233,Magnet_CTF_2022_Windows_Laptop,1.0,41.833333333333336,35.5,66.75,7.2360442791873245,18095.0,1104.0,69980.25,11.74003575851897,1,0,5,0.16666666666666666,0.0,0.8333333333333334,2022-02-06 07:34:00,2022-02-12 23:17:00,is_content_cache | is_content_container | is_repeated_record | mask_MSIE_WebCache_containers_record | is_privilege_change,is_content_cache | is_content_container | is_repeated_record | mask_MSIE_WebCache_containers_record | is_privilege_change
agglomerative,k,26,ward,23,37,0.00779768177028451,6,0.16216216216216217,1.165847665847666,Magnet_CTF_2022_Windows_Laptop,1.0,26.43243243243243,25.0,38.199999999999996,4.572101629188243,826.7027027027027,355.0,3319.199999999991,0.5363647024810172,25,0,12,0.6756756756756757,0.0,0.32432432432432434,2022-02-04 07:12:00,2022-02-12 21:20:00,visited_msn | has_transition_type | is_https | mask_Chrome_History | is_night_access,visited_msn | has_transition_type | is_https | mask_Chrome_History | is_night_access
agglomerative,k,26,ward,10,3799,0.8006322444678609,536,0.1410897604632798,1.0143498687852466,Magnet_CTF_2022_Windows_Laptop,1.0,1.9839431429323506,0.0,12.099999999999909,0.34316893457327224,7.878915504080021,0.0,45.09999999999991,0.005111840273901573,2224,1,1574,0.5854172150565938,0.00026322716504343247,0.4143195577783627,2022-02-04 07:39:00,2022-02-13 08:02:00,is_run_often | mask_WinPrefetch | is_system_process | is_service_event | mask_WinEVTX,is_run_often | mask_WinPrefetch | is_system_process | is_service_event | mask_WinEVTX
agglomerative,k,26,ward,16,122,0.02571127502634352,16,0.13114754098360656,0.9428713363139594,Magnet_CTF_2022_Windows_Laptop,1.0,28.721311475409838,29.0,43.0,4.968016293045337,36955.647540983606,2968.0,169349.99999999994,23.976823631410397,83,0,39,0.680327868852459,0.0,0.319672131147541,2022-02-04 07:11:00,2022-02-12 23:37:00,has_sha256 | is_file_entry | is_file | is_ntfs | mask_File_stat,has_sha256 | is_file_entry | is_file | is_ntfs | mask_File_stat
agglomerative,k,26,ward,11,688,0.14499473129610116,81,0.11773255813953488,0.8464257399577167,Magnet_CTF_2022_Windows_Laptop,1.0,16.377906976744185,16.0,27.0,2.8329384880668984,211.9156976744186,115.0,472.1499999999993,0.13749090182310966,415,0,273,0.6031976744186046,0.0,0.39680232558139533,2022-02-04 07:09:00,2022-02-13 11:17:00,is_modified_after_access | event_powershell | is_frequent_execution | is_service_event | is_run_often,is_modified_after_access | event_powershell | is_frequent_execution | is_service_event | is_run_often
agglomerative,k,26,ward,9,21,0.004425711275026343,2,0.09523809523809523,0.6847041847041847,Magnet_CTF_2022_Windows_Laptop,1.0,31.61904761904762,33.0,44.0,5.469246899693094,8409.666666666666,1918.0,29680.0,5.456191621104818,17,0,4,0.8095238095238095,0.0,0.19047619047619047,2022-02-05 01:17:00,2022-02-12 23:30:00,mask_Chrome_Cache | is_suspicious_domain | is_image_file | is_analytics_cookie | is_gstatic_domain,mask_Chrome_Cache | is_suspicious_domain | is_image_file | is_analytics_cookie | is_gstatic_domain
agglomerative,k,26,ward,3,13,0.0027397260273972603,1,0.07692307692307693,0.5530303030303031,Magnet_CTF_2022_Windows_Laptop,1.0,46.23076923076923,46.0,54.4,7.996682706328376,13881.846153846154,5912.0,57804.799999999996,9.00654159935965,6,0,7,0.46153846153846156,0.0,0.5384615384615384,2022-02-05 01:11:00,2022-02-12 23:38:00,is_suspicious_app | mask_WinPrefetch | is_system_process | is_history_container | is_run_often,is_suspicious_app | mask_WinPrefetch | is_system_process | is_history_container | is_run_often
agglomerative,k,26,ward,0,8,0.0016859852476290833,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,47.0,47.5,57.3,8.129738990959464,35807.75,24576.0,98469.34999999996,23.23206772213913,7,0,1,0.875,0.0,0.125,2022-02-04 07:06:00,2022-02-12 19:23:00,is_link_file | mask_File_entry_shell_item | has_exe_target | mask_AppCompatCache_Registry_Key | mask_Registry_Key,is_link_file | mask_File_entry_shell_item | has_exe_target | mask_AppCompatCache_Registry_Key | mask_Registry_Key
agglomerative,k,26,ward,14,5,0.001053740779768177,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,48.4,45.0,58.8,8.371901428988043,20277.8,15221.0,39499.2,13.15623636938911,4,0,1,0.8,0.0,0.2,2022-02-06 07:15:00,2022-02-12 23:39:00,is_system_location | opened_control_panel | unknown_shell_item_type | mask_BagMRU_Registry_Key | key_suspicious_value,is_system_location | opened_control_panel | unknown_shell_item_type | mask_BagMRU_Registry_Key | key_suspicious_value
agglomerative,k,26,ward,2,3,0.0006322444678609062,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,50.333333333333336,50.0,50.9,8.706316224360844,10717.333333333334,13074.0,14991.0,6.953405723641925,2,0,1,0.6666666666666666,0.0,0.3333333333333333,2022-02-05 01:10:00,2022-02-12 23:16:00,mask_Winlogon_Registry_Key | ModifiesImagePath | mask_Shutdown_Registry_Key | is_network_related | ModifiesStartType,mask_Winlogon_Registry_Key | ModifiesImagePath | mask_Shutdown_Registry_Key | is_network_related | ModifiesStartType
agglomerative,k,26,ward,18,2,0.00042149631190727084,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,33.5,33.5,42.05,5.794601195683873,364.0,364.0,562.0,0.2361631951423545,1,0,1,0.5,0.0,0.5,2022-02-06 06:52:00,2022-02-12 23:34:00,is_tracking_cookie | is_bing_domain | is_advertising_cookie | mask_Chrome_Cookies | mask_BagMRU_Registry_Key,is_tracking_cookie | is_bing_domain | is_advertising_cookie | mask_Chrome_Cookies | mask_BagMRU_Registry_Key
agglomerative,k,26,ward,20,2,0.00042149631190727084,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,50.5,50.5,52.75,8.735145086030913,162470.0,162470.0,261075.8,105.4105338318086,1,0,1,0.5,0.0,0.5,2022-02-06 06:57:00,2022-02-12 07:58:00,has_persistence_trigger | contains_maintenance_task | mask_Task_Cache_Registry_Key | is_suspicious_task_name | is_in_temp_or_spool,has_persistence_trigger | contains_maintenance_task | mask_Task_Cache_Registry_Key | is_suspicious_task_name | is_in_temp_or_spool
agglomerative,k,26,ward,15,1,0.00021074815595363542,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,58.0,58.0,58.0,10.032443861184019,11848.0,11848.0,11848.0,7.686982241886308,1,0,0,1.0,0.0,0.0,2022-02-05 01:15:00,2022-02-05 01:15:00,RunsRundll32 | is_system_hive | HasCommandArguments | UsesQuotesInPath | is_network_path,RunsRundll32 | is_system_hive | HasCommandArguments | UsesQuotesInPath | is_network_path
agglomerative,k,26,ward,17,1,0.00021074815595363542,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,65.0,65.0,65.0,11.243256051326917,11557.0,11557.0,11557.0,7.498181445769755,0,0,1,0.0,0.0,1.0,2022-02-12 22:47:00,2022-02-12 22:47:00,mask_USB_Registry_Key | is_usb_hub | is_login_event | IsSystemHive | is_terminal_services,mask_USB_Registry_Key | is_usb_hub | is_login_event | IsSystemHive | is_terminal_services
agglomerative,k,26,ward,19,1,0.00021074815595363542,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,60.0,60.0,60.0,10.378390201224846,46078.0,46078.0,46078.0,29.895405785080797,1,0,0,1.0,0.0,0.0,2022-02-04 07:05:00,2022-02-04 07:05:00,is_from_pinned_location | is_unusual_location | contains_cab | contains_ppd | task_starts_at_boot,is_from_pinned_location | is_unusual_location | contains_cab | contains_ppd | task_starts_at_boot
agglomerative,k,26,ward,22,1,0.00021074815595363542,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,59.0,59.0,59.0,10.205417031204433,17183.0,17183.0,17183.0,11.148330170689773,1,0,0,1.0,0.0,0.0,2022-02-06 06:47:00,2022-02-06 06:47:00,visited_microsoft | is_third_party | mask_Chrome_Cookies | contains_appdata_path | suspicious_executable,visited_microsoft | is_third_party | mask_Chrome_Cookies | contains_appdata_path | suspicious_executable
agglomerative,k,26,ward,24,1,0.00021074815595363542,0,0.0,0.0,Magnet_CTF_2022_Windows_Laptop,1.0,46.0,46.0,46.0,7.956765820939049,2421.0,2421.0,2421.0,1.5707447676913193,1,0,0,1.0,0.0,0.0,2022-02-06 07:16:00,2022-02-06 07:16:00,is_temp_launch | is_runonce_key | is_root_entry | mask_OLECF_Item | is_system_hive,is_temp_launch | is_runonce_key | is_root_entry | mask_OLECF_Item | is_system_hive
