scope,artifact,aggregation,window_s,selected_k,cluster_id,feature_name,rank,cluster_value,global_value,delta_vs_global,value_space,method,cut_mode,cut_value,linkage
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,mask_NTFS_file_stat,1,2025.4285714285713,185.0118018967334,1840.4167695318379,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,has_macb_accessed,2,1428.6190476190477,124.7567966280295,1303.8622509910183,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_standard_info,3,1402.3333333333333,138.01243414120125,1264.320899192132,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,has_macb_modified,4,1301.4285714285713,68.12202318229716,1233.3065482462741,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,mask_Registry_Key,5,1182.1904761904761,10.684510010537409,1171.5059661799387,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_ntfs,6,1066.3333333333333,153.55405690200212,912.7792764313311,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,mask_File_stat,7,1066.3333333333333,153.55532139093782,912.7780119423954,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_file_entry,8,919.047619047619,128.95700737618546,790.0906116714336,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,has_sha256,9,919.047619047619,128.95742887249736,790.0901901751217,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_file,10,919.047619047619,128.9582718651212,790.0893471824978,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_filename_attr,11,623.0952380952381,46.99936775553214,576.0958703397059,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_unallocated,12,537.047619047619,4.199367755532139,532.8482512920868,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_accessed,13,450.76190476190476,94.25542676501581,356.506477996889,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,is_from_users_dir,14,312.5238095238095,17.95237091675448,294.57143860705503,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,0,has_modified_flag,15,294.0952380952381,23.505795574288726,270.5894425209493,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,has_sha256,1,193.2994923857868,128.95742887249736,64.34206351328945,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_file,2,193.2994923857868,128.9582718651212,64.34122052066562,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_file_entry,3,193.2944162436548,128.95700737618546,64.33740886746935,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_standard_info,4,196.2233502538071,138.01243414120125,58.210916112605844,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,mask_NTFS_file_stat,5,240.54906937394247,185.0118018967334,55.53726747720907,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,mask_File_stat,6,202.24534686971236,153.55532139093782,48.690025478774544,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_ntfs,7,202.24027072758037,153.55405690200212,48.68621382557825,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,has_modified_flag,8,71.00338409475465,23.505795574288726,47.497588520465925,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,has_macb_modified,9,109.42978003384094,68.12202318229716,41.307756851543786,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_from_users_dir,10,44.947546531302876,17.95237091675448,26.995175614548398,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_in_appdata,11,31.828257191201352,13.373445732349841,18.45481145885151,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,mask_WinEVTX,12,29.901015228426395,20.164383561643834,9.73663166678256,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,mask_Chrome_Cache,13,7.813874788494078,2.3049525816649106,5.508922206829167,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,is_suspicious_domain,14,7.0126903553299496,2.0642781875658587,4.948412167764091,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,1,global_shannon_entropy_spike_score,15,4.182045127209235,2.2005048767943354,1.9815402504148993,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,mask_Amcache_Registry_Entry,1,0.005196304849884526,0.004425711275026343,0.0007705935748581827,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,account_creation,2,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,account_deletion,3,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,accessed_sensitive_file,4,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,HasAandBNoMC,5,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,has_ip_url,6,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,ContainsScriptExtension,7,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,contains_sensitive_string,8,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,accessed_sensitive_docs,9,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,is_evtx_stopped_state,10,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,is_cmd,11,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,is_apis_google,12,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,is_application_experience,13,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,is_iecompatua_container,14,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,2,macb_anomaly,15,0.0,0.0,0.0,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,mask_NTFS_file_stat,1,7376.040540540541,185.0118018967334,7191.028738643808,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_ntfs,2,6267.945945945946,153.55405690200212,6114.391889043944,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,mask_File_stat,3,6267.945945945946,153.55532139093782,6114.390624555008,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,has_macb_accessed,4,5905.405405405405,124.7567966280295,5780.648608777376,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_standard_info,5,5271.851351351352,138.01243414120125,5133.838917210151,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_file_entry,6,4879.445945945946,128.95700737618546,4750.488938569761,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_file,7,4879.445945945946,128.9582718651212,4750.487674080825,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,has_sha256,8,4879.391891891892,128.95742887249736,4750.434463019395,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_accessed,9,4824.013513513513,94.25542676501581,4729.758086748498,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,has_macb_modified,10,2216.527027027027,68.12202318229716,2148.40500384473,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_filename_attr,11,2104.189189189189,46.99936775553214,2057.189821433657,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_in_winsxs,12,2055.135135135135,32.76796628029505,2022.36716885484,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,is_executable,13,747.4459459459459,13.689567966280295,733.7563779796657,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,IsDynamicLibrary,14,612.0540540540541,11.30326659641728,600.7507874576368,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,3,mask_WinEVTX,15,583.6351351351351,20.164383561643834,563.4707515734913,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,mask_NTFS_file_stat,1,1188.0,185.0118018967334,1002.9881981032665,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_from_users_dir,2,980.75,17.95237091675448,962.7976290832455,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_standard_info,3,779.0,138.01243414120125,640.9875658587987,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_in_appdata,4,635.5,13.373445732349841,622.1265542676501,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_ntfs,5,773.0,153.55405690200212,619.4459430979979,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,mask_File_stat,6,773.0,153.55532139093782,619.4446786090622,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_file_entry,7,700.0,128.95700737618546,571.0429926238146,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,has_sha256,8,700.0,128.95742887249736,571.0425711275027,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_file,9,700.0,128.9582718651212,571.0417281348788,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,has_macb_accessed,10,633.25,124.7567966280295,508.4932033719705,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,has_macb_modified,11,554.0,68.12202318229716,485.87797681770286,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_filename_attr,12,409.0,46.99936775553214,362.00063224446785,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,mask_Registry_Key,13,309.0,10.684510010537409,298.3154899894626,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,mask_WinEVTX,14,288.0,20.164383561643834,267.83561643835617,raw_mean,agglomerative,k,5,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,5,4,is_accessed,15,311.5,94.25542676501581,217.2445732349842,raw_mean,agglomerative,k,5,ward
