scope,artifact,aggregation,window_s,selected_k,cluster_id,feature_name,rank,cluster_value,global_value,delta_vs_global,value_space,n_clusters
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,mask_NTFS_file_stat,1,1907.8,185.0118018967334,1722.7881981032665,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,has_macb_accessed,2,1344.0,124.7567966280295,1219.2432033719706,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,is_standard_info,3,1334.9,138.01243414120125,1196.8875658587988,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,has_macb_modified,4,1234.8,68.12202318229716,1166.6779768177028,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,mask_Registry_Key,5,1061.85,10.684510010537409,1051.1654899894625,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,is_ntfs,6,986.35,153.55405690200212,832.7959430979979,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,mask_File_stat,7,986.35,153.55532139093782,832.7946786090622,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,is_file_entry,8,877.25,128.95700737618546,748.2929926238146,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,has_sha256,9,877.25,128.95742887249736,748.2925711275027,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,0,is_file,10,877.25,128.9582718651212,748.2917281348788,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,mask_NTFS_file_stat,1,8458.4375,185.0118018967334,8273.425698103267,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,is_ntfs,2,7190.5,153.55405690200212,7036.945943097998,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,mask_File_stat,3,7190.5,153.55532139093782,7036.944678609062,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,has_macb_accessed,4,6774.5,124.7567966280295,6649.743203371971,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,is_standard_info,5,6042.703125,138.01243414120125,5904.690690858799,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,is_file_entry,6,5589.125,128.95700737618546,5460.167992623815,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,is_file,7,5589.125,128.9582718651212,5460.166728134879,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,has_sha256,8,5589.09375,128.95742887249736,5460.136321127503,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,is_accessed,9,5535.171875,94.25542676501581,5440.916448234984,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,1,has_macb_modified,10,2535.53125,68.12202318229716,2467.409226817703,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,mask_NTFS_file_stat,1,0.12673210161662818,185.0118018967334,-184.88506979511678,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,mask_File_stat,2,0.07303695150115473,153.55532139093782,-153.48228443943665,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,is_ntfs,3,0.07303695150115473,153.55405690200212,-153.48101995050095,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,is_standard_info,4,0.07245958429561201,138.01243414120125,-137.93997455690564,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,is_file,5,0.07159353348729793,128.9582718651212,-128.8866783316339,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,has_sha256,6,0.07159353348729793,128.95742887249736,-128.88583533901007,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,is_file_entry,7,0.07159353348729793,128.95700737618546,-128.88541384269817,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,has_macb_accessed,8,0.08978060046189376,124.7567966280295,-124.66701602756761,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,is_accessed,9,0.03868360277136259,94.25542676501581,-94.21674316224446,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,2,has_macb_modified,10,0.09353348729792148,68.12202318229716,-68.02848969499924,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,mask_NTFS_file_stat,1,1677.0368098159508,185.0118018967334,1492.0250079192174,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,is_ntfs,2,1424.1411042944785,153.55405690200212,1270.5870473924765,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,mask_File_stat,3,1424.1411042944785,153.55532139093782,1270.5857829035408,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,is_standard_info,4,1382.9447852760736,138.01243414120125,1244.9323511348723,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,is_file_entry,5,1361.4294478527606,128.95700737618546,1232.4724404765752,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,has_sha256,6,1361.4294478527606,128.95742887249736,1232.4720189802633,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,is_file,7,1361.4294478527606,128.9582718651212,1232.4711759876395,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,has_macb_modified,8,748.5153374233129,68.12202318229716,680.3933142410157,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,has_macb_accessed,9,707.3680981595093,124.7567966280295,582.6113015314797,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,3,has_modified_flag,10,493.3128834355828,23.505795574288726,469.8070878612941,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,mask_NTFS_file_stat,1,1188.0,185.0118018967334,1002.9881981032665,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_from_users_dir,2,980.75,17.95237091675448,962.7976290832455,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_standard_info,3,779.0,138.01243414120125,640.9875658587987,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_in_appdata,4,635.5,13.373445732349841,622.1265542676501,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_ntfs,5,773.0,153.55405690200212,619.4459430979979,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,mask_File_stat,6,773.0,153.55532139093782,619.4446786090622,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_file_entry,7,700.0,128.95700737618546,571.0429926238146,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,has_sha256,8,700.0,128.95742887249736,571.0425711275027,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,is_file,9,700.0,128.9582718651212,571.0417281348788,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,4,has_macb_accessed,10,633.25,124.7567966280295,508.4932033719705,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,5,mask_NTFS_file_stat,1,4378.0,185.0118018967334,4192.988198103267,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,5,mask_Registry_Key,2,3589.0,10.684510010537409,3578.3154899894625,raw_mean,10
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,10,5,has_macb_accessed,3,3121.0,124.7567966280295,2996.2432033719706,raw_mean,10
